# mapping_set_id: "https://w3id.org/lmodel/mappings/iso29100.sssom.tsv"
# mapping_set_version: "1.0.0"
# mapping_set_description: "SSSOM mappings extracted from the lmodel iso29100 LinkML schema"
# license: "https://www.apache.org/licenses/LICENSE-2.0"
# creator_id: ["https://w3id.org/lmodel"]
# mapping_date: "2026-05-15"
# subject_source: "https://w3id.org/lmodel/iso29100/"
# curie_map:
#   dcterms: "http://purl.org/dc/terms/"
#   dpv: "https://w3id.org/dpv#"
#   iso27001: "https://w3id.org/lmodel/iso27001/"
#   iso29100: "https://w3id.org/lmodel/iso29100/"
#   linkml: "https://w3id.org/linkml/"
#   rdfs: "http://www.w3.org/2000/01/rdf-schema#"
#   schema: "http://schema.org/"

subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_date	author_id	comment
iso29100:ConsentRecord	ConsentRecord	skos:exactMatch	dpv:InformedConsent		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class
iso29100:PIIController	PIIController	skos:exactMatch	dpv:DataController		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class
iso29100:PIIController	PIIController	skos:relatedMatch	schema:Organization		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class
iso29100:PIIFlowScenario	PIIFlowScenario	skos:exactMatch	dpv:PersonalDataHandling		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class
iso29100:PIIPrincipal	PIIPrincipal	skos:exactMatch	dpv:DataSubject		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class
iso29100:PIIPrincipal	PIIPrincipal	skos:narrowMatch	schema:Person		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class
iso29100:PIIProcessingActivity	PIIProcessingActivity	skos:exactMatch	dpv:PersonalDataProcess		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class
iso29100:PIIProcessor	PIIProcessor	skos:exactMatch	dpv:DataProcessor		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class
iso29100:PersonallyIdentifiableInformation	PersonallyIdentifiableInformation	skos:broadMatch	dpv:PersonalData		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class
iso29100:PrivacyBreach	PrivacyBreach	skos:exactMatch	dpv:DataBreachRecord		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class
iso29100:PrivacyBreach	PrivacyBreach	skos:relatedMatch	iso27001:InformationSecurityIncident		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class
iso29100:PrivacyControl	PrivacyControl	skos:exactMatch	dpv:TechnicalOrganisationalMeasure		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class
iso29100:PrivacyControl	PrivacyControl	skos:relatedMatch	iso27001:SecurityControl		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class
iso29100:PrivacyFramework	PrivacyFramework	skos:relatedMatch	iso27001:InformationSecurityManagementSystem		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class
iso29100:PrivacyImpactAssessment	PrivacyImpactAssessment	skos:exactMatch	dpv:PIA		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class
iso29100:PrivacyImpactAssessment	PrivacyImpactAssessment	skos:relatedMatch	iso27001:RiskAssessment		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class
iso29100:PrivacyPolicy	PrivacyPolicy	skos:exactMatch	dpv:PrivacyNotice		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class
iso29100:PrivacyPolicy	PrivacyPolicy	skos:exactMatch	schema:PrivacyPolicy		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class
iso29100:PrivacyPolicy	PrivacyPolicy	skos:relatedMatch	iso27001:InformationSecurityPolicy		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class
iso29100:PrivacyRisk	PrivacyRisk	skos:exactMatch	dpv:Risk		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class
iso29100:PrivacyRisk	PrivacyRisk	skos:relatedMatch	iso27001:Risk		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class
iso29100:PrivacyStakeholder	PrivacyStakeholder	skos:exactMatch	dpv:Entity		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class
iso29100:PrivacyStakeholder	PrivacyStakeholder	skos:relatedMatch	iso27001:InterestedParty		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class
iso29100:ThirdParty	ThirdParty	skos:exactMatch	dpv:ThirdParty		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class
