# mapping_set_id: "https://w3id.org/lmodel/mappings/kev-catalog.sssom.tsv"
# mapping_set_version: "1.0.0"
# mapping_set_description: "SSSOM mappings extracted from the lmodel kev-catalog LinkML schema"
# license: "https://www.apache.org/licenses/LICENSE-2.0"
# creator_id: ["https://w3id.org/lmodel"]
# mapping_date: "2026-05-14"
# subject_source: "https://w3id.org/lmodel/kev-catalog"
# curie_map:
#   WIKIDATA: "https://www.wikidata.org/wiki/"
#   core: "https://w3id.org/lmodel/vulnerability-core/"
#   cve: "https://w3id.org/lmodel/cve/"
#   dcterms: "http://purl.org/dc/terms/"
#   kev_catalog: "https://w3id.org/lmodel/kev-catalog/"
#   linkml: "https://w3id.org/linkml/"
#   owl: "http://www.w3.org/2002/07/owl#"
#   rdf: "http://www.w3.org/1999/02/22-rdf-syntax-ns#"
#   rdfs: "http://www.w3.org/2000/01/rdf-schema#"
#   schema: "http://schema.org/"
#   semapv: "https://w3id.org/semapv/vocab/"
#   skos: "http://www.w3.org/2004/02/skos/core#"
#   xsd: "http://www.w3.org/2001/XMLSchema#"

subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_date	author_id	comment
kev_catalog:KevEntry	KevEntry	skos:exactMatch	WIKIDATA:Q631425		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
kev_catalog:KevEntry	KevEntry	skos:relatedMatch	cve:CVERecord		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
kev_catalog:KevEntry	KevEntry	skos:relatedMatch	cve:AffectedProduct		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
kev_catalog:KevEntry	KevEntry	skos:relatedMatch	schema:SoftwareApplication		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
kev_catalog:KevEntry	KevEntry	skos:relatedMatch	WIKIDATA:Q166142		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
kev_catalog:KevCatalog	KevCatalog	skos:closeMatch	schema:Dataset		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
kev_catalog:KevCatalog	KevCatalog	skos:broadMatch	WIKIDATA:Q2352616		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
kev_catalog:Vulnerability	Vulnerability	skos:exactMatch	WIKIDATA:Q631425		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
kev_catalog:Vulnerability	Vulnerability	skos:broadMatch	nvd:NVDEntry		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
kev_catalog:Vulnerability	Vulnerability	skos:broadMatch	kev_catalog:KevEntry		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
